university_name,club_name
Yale University,Yale University Society of Hispanic Professional Engineers
Yale University,Yale University Society of Women Engineers
Yale University,Yale University Steel Bridge Team
Yale University,Yale University Theta Tau
Yale University,Yale University Women in Science and Engineering Roundtable
Yale University,Yale University American Marketing Association
Yale University,Yale University Association for Computing Machinery
Yale University,Yale University Neuroscience Society
Yale University,Yale University Orchestra
Yale University,Yale University Developer Student Club
Yale University,Yale University Design For America
Yale University,Yale University Discussions Undergraduate Research Journal
Pomona College,Pomona College Engineers Without Borders
Pomona College,Pomona College Girls Who Code
Pomona College,Pomona College Hackers Society
Pomona College,Pomona College Biomedical Engineering Society
Pomona College,Pomona College American Institute of Chemical Engineers
Pomona College,Pomona College Baja Sae
Pomona College,Pomona College Aeronautics Team
Pomona College,Pomona College MedWish
Pomona College,Pomona College Rocket Team
Pomona College,Pomona College Global Health Design Collaborative
Pomona College,Pomona College Graduate Civil Engineering Student Association
Pomona College,Pomona College Medical Technology Group
Pomona College,Pomona College oSTEM
Pomona College,Pomona College Society of Hispanic Professional Engineers
Pomona College,Pomona College Society of Women Engineers
Pomona College,Pomona College Steel Bridge Team
Pomona College,Pomona College Theta Tau
Pomona College,Pomona College Women in Science and Engineering Roundtable
Pomona College,Pomona College American Marketing Association
Pomona College,Pomona College Association for Computing Machinery
Pomona College,Pomona College Neuroscience Society
Pomona College,Pomona College Orchestra
Pomona College,Pomona College Developer Student Club
Pomona College,Pomona College Design For America
Pomona College,Pomona College Discussions Undergraduate Research Journal
University of California at Berkeley,University of California at Berkeley Engineers Without Borders
University of California at Berkeley,University of California at Berkeley Girls Who Code
University of California at Berkeley,University of California at Berkeley Hackers Society
University of California at Berkeley,University of California at Berkeley Biomedical Engineering Society
University of California at Berkeley,University of California at Berkeley American Institute of Chemical Engineers
University of California at Berkeley,University of California at Berkeley Baja Sae
University of California at Berkeley,University of California at Berkeley Aeronautics Team
University of California at Berkeley,University of California at Berkeley MedWish
University of California at Berkeley,University of California at Berkeley Rocket Team
University of California at Berkeley,University of California at Berkeley Global Health Design Collaborative
University of California at Berkeley,University of California at Berkeley Graduate Civil Engineering Student Association
University of California at Berkeley,University of California at Berkeley Medical Technology Group
University of California at Berkeley,University of California at Berkeley oSTEM
University of California at Berkeley,University of California at Berkeley Society of Hispanic Professional Engineers
University of California at Berkeley,University of California at Berkeley Society of Women Engineers
University of California at Berkeley,University of California at Berkeley Steel Bridge Team
University of California at Berkeley,University of California at Berkeley Theta Tau
University of California at Berkeley,University of California at Berkeley Women in Science and Engineering Roundtable
University of California at Berkeley,University of California at Berkeley American Marketing Association
University of California at Berkeley,University of California at Berkeley Association for Computing Machinery
University of California at Berkeley,University of California at Berkeley Neuroscience Society
University of California at Berkeley,University of California at Berkeley Orchestra
University of California at Berkeley,University of California at Berkeley Developer Student Club
University of California at Berkeley,University of California at Berkeley Design For America
University of California at Berkeley,University of California at Berkeley Discussions Undergraduate Research Journal
